Source,Target,Type,Id,Label,timeset,Weight,based_on_page
552,1029,Undirected,340,,,1,XXV:303r
552,1034,Undirected,341,,,1,XXV:303r
552,1164,Undirected,342,,,1,XXV:303r
552,1212,Undirected,343,,,1,XXV:303r
552,1217,Undirected,344,,,1,XXV:303r
552,1343,Undirected,345,,,1,XXV:303r
552,1586,Undirected,346,,,1,XXV:303r
552,1588,Undirected,347,,,1,XXV:303r
552,1669,Undirected,348,,,1,XXV:303r
584,905,Undirected,349,,,1,XXV:303r
584,1029,Undirected,350,,,1,XXV:303r
584,1034,Undirected,351,,,1,XXV:303r
584,1164,Undirected,352,,,1,XXV:303r
584,1212,Undirected,353,,,4,XXV:140r
584,1217,Undirected,354,,,1,XXV:303r
584,1343,Undirected,355,,,2,XXV:145r
584,1586,Undirected,356,,,1,XXV:303r
584,1588,Undirected,357,,,1,XXV:303r
584,1669,Undirected,358,,,2,XXV:132v
905,1029,Undirected,359,,,2,XXV:303v
905,1034,Undirected,360,,,2,XXV:303v
905,1164,Undirected,361,,,1,XXV:303r
905,1212,Undirected,362,,,1,XXV:303r
905,1217,Undirected,363,,,1,XXV:303r
905,1343,Undirected,364,,,1,XXV:303r
905,1586,Undirected,365,,,1,XXV:303r
905,1588,Undirected,366,,,2,XXV:303v
905,1669,Undirected,367,,,1,XXV:303r
1029,1034,Undirected,368,,,2,XXV:303v
1029,1164,Undirected,369,,,1,XXV:303r
1029,1212,Undirected,370,,,3,XXV:144v
1029,1217,Undirected,371,,,1,XXV:303r
1029,1343,Undirected,372,,,3,XXV:144v
1029,1586,Undirected,373,,,1,XXV:303r
1029,1588,Undirected,374,,,2,XXV:303v
1029,1669,Undirected,375,,,1,XXV:303r
1034,1164,Undirected,376,,,1,XXV:303r
1034,1212,Undirected,377,,,2,XXV:142r
1034,1217,Undirected,378,,,1,XXV:303r
1034,1343,Undirected,379,,,1,XXV:303r
1034,1586,Undirected,380,,,1,XXV:303r
1034,1588,Undirected,381,,,2,XXV:303v
1034,1669,Undirected,382,,,1,XXV:303r
1164,1212,Undirected,383,,,1,XXV:303r
1164,1217,Undirected,384,,,1,XXV:303r
1164,1343,Undirected,385,,,2,XXV:308v
1164,1586,Undirected,386,,,1,XXV:303r
1164,1588,Undirected,387,,,1,XXV:303r
1164,1669,Undirected,388,,,1,XXV:303r
1212,1217,Undirected,389,,,1,XXV:303r
1212,1343,Undirected,390,,,7,XXV:144v
1212,1586,Undirected,391,,,1,XXV:303r
